#date_dd/MM/yyyy,time,latitude,longitude,depth,heading,pitch,roll
10/02/2024,19:33:29,0.000254477,0.000224579,-0.137953147,-0.000000000,0.000000000,-0.000000000
10/02/2024,19:33:29,0.000255978,0.000224579,-0.137953147,-0.000000000,0.000000000,-0.000000000
10/02/2024,19:33:29,0.000256917,0.000224579,-0.137953147,-0.000000000,0.000000000,-0.000000000
10/02/2024,19:33:29,0.000257292,0.000224579,-0.137953147,-0.000000000,0.000000000,-0.000000000
10/02/2024,19:33:29,0.000258606,0.000224579,-0.137953147,-0.000000000,0.000000000,-0.000000000
10/02/2024,19:33:29,0.000259356,0.000224579,-0.137953147,-0.000000000,0.000000000,-0.000000000
10/02/2024,19:33:29,0.000260670,0.000224579,-0.137953147,-0.000000000,0.000000000,-0.000000000
10/02/2024,19:33:29,0.000261420,0.000224579,-0.137953147,-0.000000000,0.000000000,-0.000000000
10/02/2024,19:33:29,0.000262171,0.000224579,-0.137953147,-0.000000000,0.000000000,-0.000000000
10/02/2024,19:33:29,0.000263109,0.000224579,-0.137953147,-0.000000000,0.000000000,-0.000000000
10/02/2024,19:33:30,0.000263860,0.000224579,-0.137953147,-0.000000000,0.000000000,-0.000000000
10/02/2024,19:33:30,0.000264798,0.000224579,-0.137953147,-0.000000000,0.000000000,-0.000000000
10/02/2024,19:33:30,0.000266299,0.000224579,-0.137953147,-0.000000000,0.000000000,-0.000000000
10/02/2024,19:33:30,0.000266487,0.000224579,-0.137953147,-0.000000000,0.000000000,-0.000000000
10/02/2024,19:33:30,0.000267801,0.000224579,-0.137953147,-0.000000000,0.000000000,-0.000000000
10/02/2024,19:33:30,0.000268739,0.000224579,-0.137953147,-0.000000000,0.000000000,-0.000000000
10/02/2024,19:33:30,0.000269489,0.000224579,-0.137953147,-0.000000000,0.000000000,-0.000000000
10/02/2024,19:33:30,0.000270615,0.000224579,-0.137953147,-0.000000000,0.000000000,-0.000000000
10/02/2024,19:33:30,0.000271741,0.000224579,-0.137953147,-0.000000000,0.000000000,-0.000000000
10/02/2024,19:33:30,0.000272304,0.000224579,-0.137953147,-0.000000000,0.000000000,-0.000000000
10/02/2024,19:33:31,0.000273324,0.000224579,-0.137953147,-0.000000000,0.000000000,-0.000000000
10/02/2024,19:33:31,0.000273935,0.000224735,-0.137953147,0.000000008,-0.000000017,0.000000000
10/02/2024,19:33:31,0.000274457,0.000225192,-0.137953147,0.000000022,-0.000000045,0.000000000
10/02/2024,19:33:31,0.000274712,0.000225616,-0.137953147,0.000000051,-0.000000101,0.000000000
10/02/2024,19:33:31,0.000274953,0.000226245,-0.137953147,0.000000078,-0.000000156,0.000000000
10/02/2024,19:33:31,0.000275131,0.000226956,-0.137953147,0.000000107,-0.000000214,0.000000000
10/02/2024,19:33:31,0.000275238,0.000227569,-0.137953147,0.000000144,-0.000000288,0.000000000
10/02/2024,19:33:31,0.000275356,0.000228544,-0.137953147,0.000000169,-0.000000338,0.000000000
